"Characteristic","Subgroup","Mutated_Total","p_value"
"All cases","All","121/571 (21.2%)",""
"Sex","Male","62/243 (25.5%)","p = 0.018"
"","Female","47/278 (16.9%)",""
"Age (years)","< 65","45/219 (20.5%)","NS"
"",">= 65","58/271 (21.4%)",""
"AJCC Stage (Individual)","I","55/280 (19.6%)","NS"
"","II","23/123 (18.7%)",""
"","III","19/84 (22.6%)",""
"","IV","10/26 (38.5%)",""
"","Unknown","0/0 (0%)",""
"Sample Type","Primary Tumor","120/569 (21.1%)","NS"
"","Recurrent Tumor","1/2 (50%)",""
