"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"40","TP53","PTPRD",3.48401478735136e-13,1.95772131374979,2844,189,356,2736,2.07381832580439e-12,"Co_Occurence","PTPRD, TP53","356/2925"
"41","NTRK3","EPHA3",4.03366544854452e-13,3.72024198163075,5510,303,53,259,2.35611299564516e-12,"Co_Occurence","EPHA3, NTRK3","53/562"
"42","EPHA5","FAT1",1.02130175424503e-12,3.36262106459589,5443,351,59,272,5.85608804039582e-12,"Co_Occurence","EPHA5, FAT1","59/623"
"43","FAT1","TP53",1.13484537881811e-12,2.12017072990806,2899,2816,276,134,6.38989515100295e-12,"Co_Occurence","FAT1, TP53","276/2950"
"44","ATRX","PTPRT",3.94292724823227e-12,3.35032113874388,5454,366,56,249,2.18082259304882e-11,"Co_Occurence","ATRX, PTPRT","56/615"
"45","FAT1","SMARCA4",9.21738729705817e-12,2.79470719479667,5304,411,73,337,5.0094496179664e-11,"Co_Occurence","FAT1, SMARCA4","73/748"
"46","EGFR","FAT1",1.05791157200335e-11,0.430137845542323,3822,338,72,1893,5.65123702993247e-11,"Mutually_Exclusive","EGFR, FAT1","72/2231"
"47","KMT2D","EGFR",1.21666034193001e-11,0.406425209910005,3856,1904,61,304,6.3900228042543e-11,"Mutually_Exclusive","EGFR, KMT2D","61/2208"
"48","ATRX","EGFR",1.46652008649958e-11,0.37066022697833,3902,1918,47,258,7.57500044679536e-11,"Mutually_Exclusive","ATRX, EGFR","47/2176"
"49","TP53","RBM10",1.52172012555326e-11,0.586468497741039,2578,455,290,2802,7.7323177111447e-11,"Mutually_Exclusive","RBM10, TP53","290/3257"
"50","KMT2C","PTPRD",1.59760244650987e-11,2.90229491837264,5323,478,67,257,7.98801223254941e-11,"Co_Occurence","KMT2C, PTPRD","67/735"
"51","SETD2","EGFR",1.92586070878943e-11,0.400199673742349,3871,1908,57,289,9.47766096845191e-11,"Mutually_Exclusive","EGFR, SETD2","57/2197"
"52","KMT2C","EPHA3",2.36568543643035e-11,3.36523928661639,5496,305,51,273,1.14616542462712e-10,"Co_Occurence","EPHA3, KMT2C","51/578"
"53","KMT2D","FAT1",2.77349887795829e-11,3.0399136253372,5410,350,60,305,1.32323419749918e-10,"Co_Occurence","FAT1, KMT2D","60/655"
"54","EPHA3","EGFR",3.58968387686229e-11,0.411202129326115,3864,1905,60,296,1.6868815210819e-10,"Mutually_Exclusive","EGFR, EPHA3","60/2201"
"55","NTRK3","EPHA5",5.77228957646866e-11,3.45166592629089,5529,284,47,265,2.67235628540216e-10,"Co_Occurence","EPHA5, NTRK3","47/549"
"56","ARID1A","EGFR",9.00192377791071e-11,0.445884963916507,3833,1893,72,327,4.10671705196658e-10,"Mutually_Exclusive","ARID1A, EGFR","72/2220"
"57","PTPRD","KEAP1",1.03900388781742e-10,2.08090400234629,4850,730,130,415,4.6717800711215e-10,"Co_Occurence","KEAP1, PTPRD","130/1145"
"58","TP53","NF1",1.14404986948582e-10,1.90239140755502,2872,161,298,2794,5.07114303850103e-10,"Co_Occurence","NF1, TP53","298/2955"
"59","EGFR","CDKN2A",1.24479085407669e-10,0.406856885757198,3885,275,55,1910,5.44051946711844e-10,"Mutually_Exclusive","CDKN2A, EGFR","55/2185"
"60","CDKN2A","PTPRT",1.32646314369451e-10,3.0307965318483,5429,366,56,274,5.71751355040736e-10,"Co_Occurence","CDKN2A, PTPRT","56/640"
"61","EGFR","NTRK3",1.39286556242276e-10,0.398103414635913,3899,261,51,1914,5.92204745928052e-10,"Mutually_Exclusive","EGFR, NTRK3","51/2175"
"62","NTRK3","KMT2D",1.64869244123023e-10,3.24001376255085,5497,316,49,263,6.91565621321407e-10,"Co_Occurence","KMT2D, NTRK3","49/579"
"63","NTRK3","NF1",3.12784145721709e-10,2.9358572788636,5410,403,56,256,1.29463636474218e-09,"Co_Occurence","NF1, NTRK3","56/659"
"64","NF1","PTPRT",5.66892693850811e-10,2.60909166909805,5312,354,68,391,2.31573812847554e-09,"Co_Occurence","NF1, PTPRT","68/745"
"65","ARID1A","FAT1",1.14542332138567e-09,2.71785142567837,5376,350,60,339,4.61864242494222e-09,"Co_Occurence","ARID1A, FAT1","60/689"
"66","KMT2D","KEAP1",1.21253105918517e-09,2.26102126336031,4994,766,94,271,4.82695485344417e-09,"Co_Occurence","KEAP1, KMT2D","94/1037"
"67","KEAP1","EPHA5",1.52765064106117e-09,2.31554521743768,5021,244,87,773,6.00491604190716e-09,"Co_Occurence","EPHA5, KEAP1","87/1017"
"68","TP53","NTRK3",1.64439421638143e-09,2.06195546060684,2930,103,209,2883,6.34513986171097e-09,"Co_Occurence","NTRK3, TP53","209/2986"
"69","ATRX","PTPRD",1.65481247593422e-09,2.69324413443562,5335,485,60,245,6.34513986171097e-09,"Co_Occurence","ATRX, PTPRD","60/730"
"70","KRAS","ATRX",2.43651689724487e-09,2.04131737578494,3998,158,147,1822,9.22923067138219e-09,"Co_Occurence","ATRX, KRAS","147/1980"
"71","CDKN2A","SMARCA4",2.96710319478901e-09,2.68681687588706,5369,426,58,272,1.11044281242104e-08,"Co_Occurence","CDKN2A, SMARCA4","58/698"
"72","PTPRD","KRAS",3.87675749197223e-09,1.72356389977265,3849,1731,238,307,1.43371209022642e-08,"Co_Occurence","KRAS, PTPRD","238/2038"
"73","PTPRT","KEAP1",4.01331958326319e-09,2.10930961077065,4946,757,103,319,1.46685657283011e-08,"Co_Occurence","KEAP1, PTPRT","103/1076"
"74","ARID1A","EPHA3",6.14957178541919e-09,2.74075286226248,5423,303,53,346,2.22166610744914e-08,"Co_Occurence","ARID1A, EPHA3","53/649"
"75","MGA","EGFR",6.86199105701736e-09,0.456760806307911,3883,1903,62,277,2.45071109179191e-08,"Mutually_Exclusive","EGFR, MGA","62/2180"
"76","ATM","STK11",7.17179961893069e-09,1.97519446985323,4820,827,121,357,2.53241511967892e-08,"Co_Occurence","ATM, STK11","121/1184"
"77","ATRX","MGA",7.25992391899548e-09,3.06199849238484,5524,296,43,262,2.53488963652077e-08,"Co_Occurence","ATRX, MGA","43/558"
"78","MGA","NF1",8.04975774343265e-09,2.6425243045835,5383,403,56,283,2.77961248046708e-08,"Co_Occurence","MGA, NF1","56/686"
"79","EPHA5","NF1",9.48447154344983e-09,2.65801464566874,5390,404,55,276,3.23923208451155e-08,"Co_Occurence","EPHA5, NF1","55/680"
"80","EPHA3","MGA",1.25648842655779e-08,2.85225087564849,5477,292,47,309,4.24489333296553e-08,"Co_Occurence","EPHA3, MGA","47/601"
"81","FAT1","NTRK3",1.49475387182973e-08,2.81327745572591,5452,263,49,361,4.99583513312078e-08,"Co_Occurence","FAT1, NTRK3","49/624"
"82","PTPRT","SMARCA4",1.77023009564202e-08,2.39195816115752,5286,417,67,355,5.85393550146174e-08,"Co_Occurence","PTPRT, SMARCA4","67/772"
"83","PTPRT","TP53",2.52455073465571e-08,1.77397416203465,2879,2824,268,154,8.22995959346717e-08,"Co_Occurence","PTPRT, TP53","268/2978"
"84","MGA","PTPRT",2.54238253930846e-08,2.65150563787386,5416,370,52,287,8.22995959346717e-08,"Co_Occurence","MGA, PTPRT","52/657"
"85","PTPRT","STK11",2.59260536824845e-08,1.99098813068385,4863,840,108,314,8.22995959346717e-08,"Co_Occurence","PTPRT, STK11","108/1154"
"86","TP53","ARID1A",2.59408326386084e-08,1.80310555781771,2889,144,255,2837,8.22995959346717e-08,"Co_Occurence","ARID1A, TP53","255/2981"
"87","ARID1A","EPHA5",3.01862118254796e-08,2.70196123720482,5444,282,49,350,9.48059416629391e-08,"Co_Occurence","ARID1A, EPHA5","49/632"
"88","EPHA5","KRAS",8.32713347378666e-08,1.85850103494681,3977,1817,152,179,2.58928279657545e-07,"Co_Occurence","EPHA5, KRAS","152/1996"
"89","PTPRD","MGA",1.17318721059721e-07,2.34992121229487,5301,279,60,485,3.61202958927716e-07,"Co_Occurence","MGA, PTPRD","60/764"
"90","EGFR","KMT2C",1.18575200187444e-07,0.484773157784748,3898,262,62,1903,3.61509756669039e-07,"Mutually_Exclusive","EGFR, KMT2C","62/2165"
"91","NTRK3","KMT2C",1.3220090884985e-07,2.86223716723265,5529,284,40,272,3.99157333483849e-07,"Co_Occurence","KMT2C, NTRK3","40/556"
"92","EPHA3","FAT1",1.36462198444064e-07,2.51929785172382,5410,359,51,305,4.08080736973877e-07,"Co_Occurence","EPHA3, FAT1","51/664"
"93","EPHA3","EPHA5",1.59171086386931e-07,2.69295524183755,5482,287,44,312,4.7147833645418e-07,"Co_Occurence","EPHA3, EPHA5","44/599"
"94","CDKN2A","KEAP1",2.00404082814046e-07,2.09431713889277,5016,779,81,249,5.88040149102247e-07,"Co_Occurence","CDKN2A, KEAP1","81/1028"
"95","PTPRT","ATM",2.54626227780034e-07,2.23568159185223,5288,415,63,359,7.36261520796389e-07,"Co_Occurence","ATM, PTPRT","63/774"
"96","NTRK3","ATRX",2.55630000020506e-07,2.87995993443514,5546,267,38,274,7.36261520796389e-07,"Co_Occurence","ATRX, NTRK3","38/541"
"97","ATM","RBM10",2.60693538186277e-07,1.93513911455816,4998,649,96,382,7.43988408065858e-07,"Co_Occurence","ATM, RBM10","96/1031"
"98","ATM","ATRX",2.71930669593277e-07,2.46971309866003,5392,255,50,428,7.69034699076012e-07,"Co_Occurence","ATM, ATRX","50/683"
"99","KMT2D","ATM",2.82355878245328e-07,2.34653013367257,5339,421,57,308,7.91356161001482e-07,"Co_Occurence","ATM, KMT2D","57/729"
"100","PTPRT","ARID1A",3.59584124848429e-07,2.33421044213555,5359,344,55,367,9.98844791245637e-07,"Co_Occurence","ARID1A, PTPRT","55/711"
"101","EPHA3","NF1",3.69086717971285e-07,2.36775516124712,5364,405,54,302,1.01203349073912e-06,"Co_Occurence","EPHA3, NF1","54/707"
"102","EPHA3","KMT2D",3.70809071006812e-07,2.53457626178284,5450,319,46,310,1.01203349073912e-06,"Co_Occurence","EPHA3, KMT2D","46/629"
"103","TP53","EPHA5",7.68933087553629e-07,1.77768561644459,2913,120,211,2881,2.08044666545896e-06,"Co_Occurence","EPHA5, TP53","211/3001"
"104","ATRX","FAT1",8.00544708253633e-07,2.51161088153609,5454,366,44,261,2.14738387407091e-06,"Co_Occurence","ATRX, FAT1","44/627"
"105","MGA","FAT1",1.01149024380401e-06,2.40414960399866,5423,363,47,292,2.69013362713835e-06,"Co_Occurence","FAT1, MGA","47/655"
"106","NTRK3","MGA",1.2278637795607e-06,2.62455542713764,5513,300,39,273,3.23803739335627e-06,"Co_Occurence","MGA, NTRK3","39/573"
"107","KEAP1","EPHA3",1.28051455172223e-06,1.95309425050365,4992,273,83,777,3.30056170853342e-06,"Co_Occurence","EPHA3, KEAP1","83/1050"
"108","PTPRD","RBM10",1.28166425821683e-06,1.81678873904311,4939,641,104,441,3.30056170853342e-06,"Co_Occurence","PTPRD, RBM10","104/1082"
"109","FAT1","ATM",1.28325839227779e-06,2.1719889574139,5297,418,60,350,3.30056170853342e-06,"Co_Occurence","ATM, FAT1","60/768"
"110","KEAP1","NTRK3",1.40152518656437e-06,2.0266668758521,5028,237,75,785,3.57531935348055e-06,"Co_Occurence","KEAP1, NTRK3","75/1022"
"111","KMT2D","ATRX",1.4749155737692e-06,2.55152150797213,5495,265,40,325,3.73207382026622e-06,"Co_Occurence","ATRX, KMT2D","40/590"
"112","RB1","KRAS",1.79578280427736e-06,0.512883561619958,3916,1909,60,240,4.5074869585275e-06,"Mutually_Exclusive","KRAS, RB1","60/2149"
"113","EPHA5","KMT2D",2.00940109214371e-06,2.46107270545714,5471,323,42,289,5.00348877525825e-06,"Co_Occurence","EPHA5, KMT2D","42/612"
"114","ATRX","EPHA5",2.7653427405854e-06,2.5943112271985,5526,294,37,268,6.8313802880074e-06,"Co_Occurence","ATRX, EPHA5","37/562"
"115","NF1","KMT2C",3.49113373103254e-06,2.28024818842636,5390,276,48,411,8.55670032115821e-06,"Co_Occurence","KMT2C, NF1","48/687"
"116","NTRK3","ATM",3.61148776271215e-06,2.27563407470612,5383,430,48,264,8.78280097935836e-06,"Co_Occurence","ATM, NTRK3","48/694"
"117","KMT2C","MGA",3.8529806816272e-06,2.50867338225855,5501,300,39,285,9.29773330508495e-06,"Co_Occurence","KMT2C, MGA","39/585"
"118","KMT2D","MGA",4.43948586975004e-06,2.39144777068389,5463,297,42,323,1.06309527532329e-05,"Co_Occurence","KMT2D, MGA","42/620"
"119","KEAP1","NF1",4.90724488764176e-06,1.77228972748166,4905,360,99,761,1.16617036303274e-05,"Co_Occurence","KEAP1, NF1","99/1121"
"120","KMT2D","SETD2",6.42332330027751e-06,2.33326661373928,5456,304,42,323,1.5149347406315e-05,"Co_Occurence","KMT2D, SETD2","42/627"
"121","NF1","ARID1A",7.09326022948031e-06,2.1058559617598,5322,344,55,404,1.66040735708809e-05,"Co_Occurence","ARID1A, NF1","55/748"
"122","MGA","ATM",8.69543163025028e-06,2.16549926944791,5358,428,50,289,2.02031404048567e-05,"Co_Occurence","ATM, MGA","50/717"
"123","CDKN2A","PTPRD",9.0512157612984e-06,2.1131848541347,5304,491,54,276,2.08745750952454e-05,"Co_Occurence","CDKN2A, PTPRD","54/767"
"124","KMT2D","STK11",9.20849404322432e-06,1.80984189578155,4900,860,88,277,2.10817171319239e-05,"Co_Occurence","KMT2D, STK11","88/1137"
"125","KMT2D","ARID1A",9.41307987811409e-06,2.20835163605882,5407,353,46,319,2.13933633593502e-05,"Co_Occurence","ARID1A, KMT2D","46/672"
"126","ARID1A","PTPRD",9.96832482108832e-06,1.99680051934275,5243,483,62,337,2.24917076288094e-05,"Co_Occurence","ARID1A, PTPRD","62/820"
"127","NTRK3","STK11",1.27615379199324e-05,1.85881092090741,4942,871,77,235,2.858767455182e-05,"Co_Occurence","NTRK3, STK11","77/1106"
"128","SETD2","KMT2C",1.69565301363436e-05,2.3692616177152,5493,286,38,308,3.77147022605507e-05,"Co_Occurence","KMT2C, SETD2","38/594"
"129","KMT2D","TP53",1.88672997912542e-05,1.60181270894318,2892,2868,224,141,4.16680649100138e-05,"Co_Occurence","KMT2D, TP53","224/3009"
"130","EPHA3","TP53",1.91731189876658e-05,1.61120118544252,2896,2873,219,137,4.20463135694428e-05,"Co_Occurence","EPHA3, TP53","219/3010"
"131","STK11","EPHA3",2.0615768155895e-05,1.78285258982824,4906,271,85,863,4.48949654962872e-05,"Co_Occurence","EPHA3, STK11","85/1134"
"132","KMT2C","TP53",2.22272835121318e-05,1.6447419575715,2910,2891,201,123,4.80693847580706e-05,"Co_Occurence","KMT2C, TP53","201/3014"
"133","MGA","RBM10",2.34529032378385e-05,1.89343452839695,5109,677,68,271,5.03713557513714e-05,"Co_Occurence","MGA, RBM10","68/948"
"134","CDKN2A","ARID1A",2.60592719618517e-05,2.22097407433077,5438,357,42,288,5.55871842189669e-05,"Co_Occurence","ARID1A, CDKN2A","42/645"
"135","SMARCA4","PTPRD",2.76473962071222e-05,1.83876565390985,5166,475,70,414,5.8574991964242e-05,"Co_Occurence","PTPRD, SMARCA4","70/889"
"136","ATRX","SMARCA4",2.91305490522969e-05,2.12112934384982,5381,439,45,260,6.13016604635879e-05,"Co_Occurence","ATRX, SMARCA4","45/699"
"137","RB1","PIK3CA",3.46731455058372e-05,2.27634301051432,5486,339,37,263,7.24773108399609e-05,"Co_Occurence","PIK3CA, RB1","37/602"
"138","BRAF","EPHA5",3.53016664096463e-05,2.27233776361207,5490,294,37,304,7.33008023456112e-05,"Co_Occurence","BRAF, EPHA5","37/598"
"139","EPHA5","STK11",4.28368775659532e-05,1.77649651942536,4925,869,79,252,8.83598959693755e-05,"Co_Occurence","EPHA5, STK11","79/1121"
"140","MGA","SETD2",4.6182430428679e-05,2.24511006922346,5478,308,38,301,9.46361279276208e-05,"Co_Occurence","MGA, SETD2","38/609"
"141","ATM","EPHA5",4.89208092546452e-05,2.05893929259724,5363,284,47,431,9.95944813816069e-05,"Co_Occurence","ATM, EPHA5","47/715"
"142","KMT2D","NF1",5.08993639008306e-05,2.02308930761326,5350,410,49,316,0.000102951787825305,"Co_Occurence","KMT2D, NF1","49/726"
"143","FAT1","KMT2C",5.30556914471325e-05,2.13234811219063,5432,283,41,369,0.00010662317413009,"Co_Occurence","FAT1, KMT2C","41/652"
"144","STK11","PTPRD",6.6887519212474e-05,1.58136353181072,4750,427,118,830,0.0001335613402805,"Co_Occurence","PTPRD, STK11","118/1257"
"145","KRAS","MGA",7.40639498489306e-05,1.58214252856872,3960,196,143,1826,0.000146952281446291,"Co_Occurence","KRAS, MGA","143/2022"
"146","BRAF","KMT2D",7.71009435360887e-05,2.16171823382625,5458,326,39,302,0.000152012901293551,"Co_Occurence","BRAF, KMT2D","39/628"
"147","ATRX","EPHA3",8.04799793194659e-05,2.22019605772108,5499,321,35,270,0.000157680210265412,"Co_Occurence","ATRX, EPHA3","35/591"
"148","FAT1","CDKN2A",9.37566086127048e-05,2.08578958847463,5426,289,41,369,0.000182547913965547,"Co_Occurence","CDKN2A, FAT1","41/658"
"149","ATM","ARID1A",9.56790753126441e-05,1.9103789393438,5301,346,53,425,0.00018513752962973,"Co_Occurence","ARID1A, ATM","53/771"
"150","EPHA3","SMARCA4",9.98398396478367e-05,1.95688448740004,5334,435,49,307,0.000191999691630455,"Co_Occurence","EPHA3, SMARCA4","49/742"
"151","PIK3CA","KMT2C",0.000108060136892792,2.14701755640592,5463,286,38,338,0.000205380564684733,"Co_Occurence","KMT2C, PIK3CA","38/624"
"152","EPHA3","RBM10",0.000108112329250043,1.77568816465723,5092,677,68,288,0.000205380564684733,"Co_Occurence","EPHA3, RBM10","68/965"
"153","ATM","PTPRD",0.000109817521921995,1.76261759284805,5169,478,67,411,0.000207359369188057,"Co_Occurence","ATM, PTPRD","67/889"
"154","STK11","PIK3CA",0.000118917539390184,0.508336795009333,4834,343,33,915,0.000223193579936532,"Mutually_Exclusive","PIK3CA, STK11","33/1258"
"155","ATRX","KEAP1",0.000126138058662741,1.7843661341805,5027,793,67,238,0.000235332198997652,"Co_Occurence","ATRX, KEAP1","67/1031"
"156","PTPRT","BRAF",0.000162328257338389,1.99731956796865,5404,299,42,380,0.000301053889722532,"Co_Occurence","BRAF, PTPRT","42/679"
"157","EPHA5","MGA",0.000169820881237078,2.13515733179813,5490,304,35,296,0.000313091595201103,"Co_Occurence","EPHA5, MGA","35/600"
"158","KMT2C","SMARCA4",0.000176891040480485,1.96975700546639,5362,439,45,279,0.000324213783871856,"Co_Occurence","KMT2C, SMARCA4","45/718"
"159","NTRK3","KRAS",0.000182358570404937,1.56515184662864,3975,1838,131,181,0.000332286024790341,"Co_Occurence","KRAS, NTRK3","131/2019"
"160","STK11","FAT1",0.000221327984853571,1.61691494181897,4858,319,91,857,0.00040095649429995,"Co_Occurence","FAT1, STK11","91/1176"
"161","EPHA3","ATM",0.000316896626637762,1.88363931723192,5338,431,47,309,0.00057077922665303,"Co_Occurence","ATM, EPHA3","47/740"
"162","FAT1","KEAP1",0.000385914640106291,1.61294668673406,4938,777,83,327,0.00069110787984651,"Co_Occurence","FAT1, KEAP1","83/1104"
"163","ARID1A","MGA",0.000392539622210733,1.95912469447357,5426,300,39,360,0.000698966563765551,"Co_Occurence","ARID1A, MGA","39/660"
