"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"43","CSMD3","XIRP2",4.95026914010882e-05,6.24534764014809,246,18,12,26,0.00027373518008657,"Co_Occurence","CSMD3, XIRP2","12/44"
"44","SI","ZFHX4",5.05375662068229e-05,6.91170122286805,249,28,11,14,0.00027373518008657,"Co_Occurence","SI, ZFHX4","11/42"
"45","NEB","FLG",5.17611731293275e-05,7.71683412688309,253,27,10,12,0.00027373518008657,"Co_Occurence","FLG, NEB","10/39"
"46","SI","CTNND2",5.21191782884829e-05,8.48566516227599,260,17,9,16,0.00027373518008657,"Co_Occurence","CTNND2, SI","9/33"
"47","SI","MUC17",5.21191782884829e-05,8.48566516227599,260,17,9,16,0.00027373518008657,"Co_Occurence","MUC17, SI","9/33"
"48","XIRP2","SPTA1",5.54863556186504e-05,7.41057868102511,255,17,10,20,0.000286603076542617,"Co_Occurence","SPTA1, XIRP2","10/37"
"49","XIRP2","TP53",6.03185904741337e-05,5.19062185273485,188,84,21,9,0.000306496902815721,"Co_Occurence","TP53, XIRP2","21/93"
"50","PCLO","RYR2",6.72193439239144e-05,5.66153283915447,239,34,13,16,0.000336096719619573,"Co_Occurence","PCLO, RYR2","13/50"
"51","LRP1B","RYR2",6.95729909502544e-05,5.22676449853262,236,33,14,19,0.000342386766487473,"Co_Occurence","LRP1B, RYR2","14/52"
"52","TTN","SPTA1",7.32119797130694e-05,5.32053499718296,223,12,15,52,0.000353824937459934,"Co_Occurence","SPTA1, TTN","15/64"
"53","SI","SPTA1",7.41657280540569e-05,7.9887783680268,259,18,9,16,0.000353824937459934,"Co_Occurence","SI, SPTA1","9/34"
"54","MUC17","FAT3",7.53783117001144e-05,7.96147961145113,259,17,9,17,0.000353824937459934,"Co_Occurence","FAT3, MUC17","9/34"
"55","MUC16","FAT3",7.64261864913455e-05,6.04416382933938,242,14,12,34,0.000353824937459934,"Co_Occurence","FAT3, MUC16","12/48"
"56","CTNND2","ZFHX4",7.9606395700883e-05,6.42915566861103,248,28,11,15,0.000360306099279627,"Co_Occurence","CTNND2, ZFHX4","11/43"
"57","CSMD3","TTN",8.01320764797891e-05,4.47075252395001,216,48,19,19,0.000360306099279627,"Co_Occurence","CSMD3, TTN","19/67"
"58","MUC16","TP53",9.20436351687849e-05,3.59901098401908,179,77,28,18,0.000407994836741068,"Co_Occurence","MUC16, TP53","28/95"
"59","MUC17","RYR2",9.75654617572577e-05,5.84889308343564,241,35,12,14,0.000421696201449594,"Co_Occurence","MUC17, RYR2","12/49"
"60","CTNND2","LRP1B",9.78335187363055e-05,6.80009948126453,253,23,10,16,0.000421696201449594,"Co_Occurence","CTNND2, LRP1B","10/39"
"61","FAT3","SPTA1",0.000106905486497603,7.49488278680725,258,18,9,17,0.000454530129666679,"Co_Occurence","FAT3, SPTA1","9/35"
"62","MUC16","CSMD1",0.000109782923407301,6.32769727703824,244,12,11,35,0.000460498839795725,"Co_Occurence","CSMD1, MUC16","11/47"
"63","USH2A","EGFR",0.000119230800837315,0.256905839346428,124,131,10,37,0.000493504970353124,"Mutually_Exclusive","EGFR, USH2A","10/168"
"64","KRAS","NEB",0.000136916746387322,7.2974377409326,256,13,9,24,0.000558289320697915,"Co_Occurence","KRAS, NEB","9/37"
"65","LRP1B","TP53",0.000140002579810029,4.45717614141723,186,83,22,11,0.000558289320697915,"Co_Occurence","LRP1B, TP53","22/94"
"66","SI","PCLO",0.00014256914446084,7.14297535933674,257,20,9,16,0.000558289320697915,"Co_Occurence","PCLO, SI","9/36"
"67","LRP1B","ANK2",0.000143815329011782,6.37707431641569,252,17,10,23,0.000558289320697915,"Co_Occurence","ANK2, LRP1B","10/40"
"68","LRP1B","SPTA1",0.000143815329011782,6.37707431641569,252,17,10,23,0.000558289320697915,"Co_Occurence","LRP1B, SPTA1","10/40"
"69","SPTA1","ANK2",0.000151112068550603,7.05549271772062,257,18,9,18,0.000574621016439405,"Co_Occurence","ANK2, SPTA1","9/36"
"70","SI","PRDM9",0.000151699948340003,8.10935107386559,262,15,8,17,0.000574621016439405,"Co_Occurence","PRDM9, SI","8/32"
"71","ANK2","USH2A",0.000155402314640586,5.43914164182184,240,35,12,15,0.000574712702073173,"Co_Occurence","ANK2, USH2A","12/50"
"72","SPTA1","USH2A",0.000155402314640586,5.43914164182184,240,35,12,15,0.000574712702073173,"Co_Occurence","SPTA1, USH2A","12/50"
"73","PRDM9","TTN",0.000197157906754504,5.37592939613499,225,54,13,10,0.000720606384336638,"Co_Occurence","PRDM9, TTN","13/64"
"74","ZNF536","KRAS",0.00020786937567405,6.75329840083949,255,24,9,14,0.000720873625822568,"Co_Occurence","KRAS, ZNF536","9/38"
"75","CSMD1","LRP1B",0.00020786937567405,6.75329840083949,255,24,9,14,0.000720873625822568,"Co_Occurence","CSMD1, LRP1B","9/38"
"76","ZNF536","LRP1B",0.00020786937567405,6.75329840083949,255,24,9,14,0.000720873625822568,"Co_Occurence","LRP1B, ZNF536","9/38"
"77","CSMD1","CTNND2",0.000208765002038216,7.63459814030728,261,18,8,15,0.000720873625822568,"Co_Occurence","CSMD1, CTNND2","8/33"
"78","ZNF536","CTNND2",0.000208765002038216,7.63459814030728,261,18,8,15,0.000720873625822568,"Co_Occurence","CTNND2, ZNF536","8/33"
"79","TP53","ZFHX4",0.000274032778345072,3.57821710104768,182,15,24,81,0.000931101160853894,"Co_Occurence","TP53, ZFHX4","24/96"
"80","MUC17","XIRP2",0.000275605943612753,6.36104189097155,255,21,9,17,0.000931101160853894,"Co_Occurence","MUC17, XIRP2","9/38"
"81","SPTA1","PCLO",0.000286611923012457,6.30797084916628,255,20,9,18,0.000957927550175328,"Co_Occurence","PCLO, SPTA1","9/38"
"82","NEB","PCLO",0.000345874221317898,6.96502108278942,259,21,8,14,0.00114376395938458,"Co_Occurence","NEB, PCLO","8/35"
"83","CSMD3","FAT3",0.000379984300472839,5.48583350589402,248,16,10,28,0.0012434041245839,"Co_Occurence","CSMD3, FAT3","10/44"
"84","MUC16","TTN",0.000407314827852658,3.40336352740886,209,47,20,26,0.0013190247015954,"Co_Occurence","MUC16, TTN","20/73"
"85","CSMD3","RYR2",0.000451050400596104,4.05722490312449,231,33,14,24,0.00143099746382013,"Co_Occurence","CSMD3, RYR2","14/57"
