"Characteristic","Subgroup","Mutated_Total","p_value"
"All cases","All","1003/6254 (16%)",""
"Sex","Male","478/2347 (20.4%)","p < 0.001"
"","Female","519/3876 (13.4%)",""
"Age (years)","< 65","482/3255 (14.8%)","p = 0.006"
"",">= 65","508/2919 (17.4%)",""
"Sample Type","Primary","557/3725 (15%)","p = 0.01"
"","Metastasis","435/2445 (17.8%)",""
"","Local Recurrence","4/21 (19%)",""
