"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"41","NF1","LRP1B",6.49768910323118e-07,3.79233469817415,1253,210,28,44,3.79537914908366e-06,"Co_Occurence","LRP1B, NF1","28/254"
"42","PRKDC","LRP2",8.42577287812661e-07,5.30304739770034,1383,79,17,56,4.83129178791663e-06,"Co_Occurence","LRP2, PRKDC","17/135"
"43","FAT3","KEAP1",9.05096795915651e-07,4.45143693334685,1335,48,21,131,5.09626574276832e-06,"Co_Occurence","FAT3, KEAP1","21/179"
"44","ATM","FAT3",1.18413564793528e-06,4.35750729139686,1334,131,21,49,6.54942283150046e-06,"Co_Occurence","ATM, FAT3","21/180"
"45","KMT2D","PRKDC",1.68434627629426e-06,6.05551082805275,1407,59,14,55,9.1540558494253e-06,"Co_Occurence","KMT2D, PRKDC","14/114"
"46","FAT3","KRAS",2.87035902431822e-06,2.77905915645319,1235,148,38,114,1.53331144461444e-05,"Co_Occurence","FAT3, KRAS","38/262"
"47","LRP2","FAT1",2.98417961600244e-06,5.02293058783302,1384,55,16,80,1.56732122689204e-05,"Co_Occurence","FAT1, LRP2","16/135"
"48","FAT4","EGFR",3.33209079237964e-06,0.364010665610059,579,859,34,63,1.72112127705561e-05,"Mutually_Exclusive","EGFR, FAT4","34/922"
"49","EGFR","FAT3",3.56223188095074e-06,0.444170100454301,551,91,61,832,1.81007717527986e-05,"Mutually_Exclusive","EGFR, FAT3","61/923"
"50","FAT4","FAM135B",4.17331081213875e-06,4.37961985912244,1367,71,18,79,2.08665540606938e-05,"Co_Occurence","FAM135B, FAT4","18/150"
"51","SPTA1","TP53",4.67979329730998e-06,2.29840532962963,729,661,98,47,2.30304788253444e-05,"Co_Occurence","SPTA1, TP53","98/708"
"52","EGFR","FAM135B",6.72580737370511e-06,0.36235184094516,584,58,31,862,3.21820170468706e-05,"Mutually_Exclusive","EGFR, FAM135B","31/920"
"53","FAM135B","NF1",6.74535077302406e-06,4.93002349684939,1389,57,15,74,3.21820170468706e-05,"Co_Occurence","FAM135B, NF1","15/131"
"54","FAT4","KMT2C",7.99328718564975e-06,4.34115904955651,1371,67,17,80,3.75624397821889e-05,"Co_Occurence","FAT4, KMT2C","17/147"
"55","FAT3","NF1",8.2908684417361e-06,3.87319493202125,1331,52,20,132,3.83836501932229e-05,"Co_Occurence","FAT3, NF1","20/184"
"56","KEAP1","SMARCA4",8.94785233464602e-06,4.80353035844641,1386,80,15,54,4.07648745515706e-05,"Co_Occurence","KEAP1, SMARCA4","15/134"
"57","SPTA1","SMARCA4",9.06610810026928e-06,3.44683861338361,1318,72,23,122,4.07648745515706e-05,"Co_Occurence","SMARCA4, SPTA1","23/194"
"58","FAT3","TP53",1.12037476701081e-05,2.18097060097198,725,658,101,51,4.96620020838125e-05,"Co_Occurence","FAT3, TP53","101/709"
"59","SPTA1","CDKN2A",1.2051761357462e-05,3.73632721724515,1333,57,20,125,5.26737821567398e-05,"Co_Occurence","CDKN2A, SPTA1","20/182"
